image_url,text
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/boxes/000-Species section-odonata-0.jpg,"1. Ischnura delicate: (Hagen).<br>Agrizm del-z'catum Hagen, Zool—bot. Ges. Wieu, V erh. 8:479, 1858.<br>Hahn-um delicam (Hagen) Selys, Acad. Belg, Bull. 2(41):281, 1876.<br>Fraser, Fauna Brit. Incl, Odou. 1:360, ﬁg. 355, 1933.<br>Agana, May 4, Swezey, Usiuger<br> Inarajan, May 7, l4, Swezey, Bryan<br><br>Piti, May 31, Swezey, Usinger<br> Sumay Road, June 25, July 15, Swezey<br> Piti,<br>Aug. 24, Sept. 1, 21, Swezey<br> Merizo, Oct. 2, Swezey<br> Agat, Oct. 17, Swezey.<br>A widely distributed species throughout southern Asia, India, Ceylon,<br>Burma, Malaysia, Sondaic Archipelago [Sunda IslandSP], Borneo, New<br>Guinea, Australasia, Philippines and Samoa. NOW recorded from Guam for<br>the ﬁrst time. Abundant in lowlands, especially rice ﬁelds."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/boxes/001-Species section-odonata-0.jpg,"2. Anax piraticus Kennedy, Ent. Soc. Am, Ann. 27: 346, 1934.<br>Piti, dead specimen on bark of Pithecolabmm tree, Root Agricultural<br>School, Aug. 19, 1936, collected by a student<br> Piti, at light, Sept. 12, Swezey,<br>Oct. 17, Swezey, A wary high-ﬂying species diﬂicult to capture.<br>Described from a male specimen collected in Guam by Fullaway in 1911.<br>A male specimen collected in 1936 was submitted to Dr, Kennedy for veriﬁ—<br>cation. In reply, Dr. Kennedy stated that he had not seen the species panybom<br>Hagen with which he had compared piraticm in his original description, and<br>now he says: “My opinion after seeing this second specimen is that it will be<br>difﬁcult to separate all specimens from Guam from panybeus of Celebes. They<br>may prove to be one species with study of more material.”"
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/boxes/003-Species section-odonata-1.jpg,"3. Anaciaeschna jaspidea (Burmeister)<br>Aexclma- jaspidea Burmeister, Handb. But. 2 1 840, 18394<br>AMaC-iaeschna jaspideus (Burmeister) Hagen, Zoo].—bot. Ges. Wien, Verh.<br>17:32, 1867‘<br>Anac‘iaeschna jasjn'dea (Burmeister) Fraser, Ins. Samoa 7(1) :34, 1927<br><br>Fauna Brit. 1nd,, Odom. 3 : 152, 1936.<br>Agaua, May 9, Bryan<br> Piti, Oct. 12, Nov. 3, Swezey <br> 4 specimens at light.<br>The ﬁrst record of its occurrence in Guam. A species with wide range<br>from India, extending to the Paciﬁc islands as far as Samoa."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/boxes/004-Species section-odonata-1.jpg,"4. Hemicortiuh’a species‘<br>Umatac, May 14, Usiuger, 3 specimens<br> Piti, juue, Usinger, 1 specimen."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/boxes/005-Species section-odonata-1.jpg,"5. Agtionaptera insignis insignis (Rambur)<br>Libellula imigmlr Rambur, Ins‘ Neurop., 123, 1842.<br>Agrionoptera inrxignix (Rambur) Brauer, Zool.—bot. Ges. VVien, Verh,<br>14: 164, 1864.<br>Agrionaptera i1'zrsz'gn'is i1't5ign'i5 (Rambul‘) Laidlaw, Fed. Malay States Mus.,<br>Jour. 16: 220, 1930. Fraser, Fauna Brit. Indl, Odom 3 : 274, ﬁgs, 83,<br>86c, 1936,<br>Orote Peninsula, April 9, Bryan<br> Yigo, April 13, Bryan<br> Mt. Alifan,<br>April 20, 21, 30, Bryan<br> Agana, May 4, 25, Bryan, Swezey, Usinger<br> Inara—<br>jan, May 7, Swezey <br> Umatac, May 14, Usinger<br> Dededo, Aug. 11, Swezey.<br>Recorded {or the ﬁrst time from Guam, where it is quite common. This<br>species ranges from Burma to Nicobar Islands, Sumatra, Java, Malaysia<br>and Borneo."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/boxes/006-Species section-odonata-1.jpg,"6. Diplacodes bipunctata (Brauer).<br>Libellula- bipunclala Brauer, Reise N ovara, Neur., 86, 1866.<br>Dipla-ma’e: bipzmctata (Brauer) Fraser, Ins. Samoa 7(1) :40, 1927.<br>Mt. Alit'an, April 20, Bryan<br> Merizo, April 24, Bryan<br> Agana, May 4,<br>Usinger<br> Inarajau, May 14, Swezey, Usinger<br> Umatac, May 14, Usinger<br><br>Piti, May 23, Usinger<br> Mt, Chachao, May 16, Sept. 22, Swezey<br> beach near<br>Cetti Bay, May 29, Usinger<br> Piti, Aug. 16, Sept. 16, Oct 10, 11, Swezey<br><br>Orote Peninsula, Sept. 27‘ Swezey<br> Merizo, Oct. 2, Swezey<br> Libugon, NOV.<br>10) Swezey.<br>Recorded for the ﬁrst time from Guam, though collected by Fullaway in<br>1911 without record. This species is distributed throughout Australia and the<br>Paciﬁc islands as far as Samoa."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/boxes/008-Species section-odonata-2.jpg,"7. Pantala ﬂavescens (Fabricius).<br>Libellula flawscem (Fabricius), Entl Syst, Suppl., 285, 1798.<br>Panmla flavescens (Fabricius) Hagen, Neur. North Am., 142, 1861. Per-<br>kins, Fauna Haw. 2(2) :62, 1899. Fraser, Ins. Samoa. 7(1) : 41, 1927<br><br>Fauna Brit. Ind, Odon, 3 : 414, ﬁg. 115, 1936.<br>Umatac, May 14, Usinger<br> Piti, Aug. 16, 23, Sept. 4, 26, Oct. 8, 9, 25,<br>Swezey<br> Orote peninsula, Sept. 27, Swezcy.<br>A cosmopolitan dragonﬂy. It was collected in Guam by Fullaway in 1911,<br>but not recorded. It is probably the most abundant dragonﬂy in Guam, and is<br>the only Guam species which is also found in Hawaii."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/boxes/009-Species section-odonata-2.jpg,"8. Tholymis tillarga (Fabricius),<br>Libellulav tillarga Fabricius, Syst. Entl, Suppl, 285, 1798,<br>Thalymis tillarga (Fabricius) Hagen, Stett. Ent. Zeitung 28: 220, 1867.<br>Fraser, Ins. Samoa 7(1):41, 1927<br> Fauna Britl 1nd,, Odon, 3:411,<br>ﬁg. 114, 1936.<br>Sumay mad, May 31. Usinger<br> Piti, Sept. 16, Oct. 5, 10, Nov. 2 at light,<br>Swezey.<br>A widely distributed species from tropical Africa, Madagascar, throughout<br>India, Burma, Ceylon to Australia and Oceania. Now recorded from Guam<br>for the ﬁrst time, where it is not common."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/boxes/010-Species section-odonata-2.jpg,"9. Rhyothemis phyllis phyllis (Sulzer).<br>Libellula phyllis Sulzer, Abgekurzte Gesch. der 1115., 169, pl. 24, ﬁg. 2, 1776.<br>Rhyothemis [Iliyllis (Sulzer) Hagen, Stett. Ent. Zeituug 28: 232, 1867.<br>Rhyothemis phyllilr phyllzlr (Sulzer) Fraser, Bombay Nat, Hist. Socﬂour.<br>261931, ﬁg. 52, 1920<br> Fauna Brit. Ind, Odom. 3 : 421, 1936.<br>Agana swamp, May 4, Bryan, Usinger, May 25, Swezey<br> swamp 3 miles<br>south of Piti, May 23, Usinger<br> Inarajan, June 8, Usinger.<br>This species occurs in Burma, Java, Sumatra, and Borneo. Now recorded<br>for the ﬁrst time in Guam, where it was found in swampy regions but not<br>common,"
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/boxes/011-Species section-odonata-2.jpg,"10. Rhyothemis variegata vatiegata (Linnaeus).<br>L-ibellula variegata Linnaeus, Amoenitates Acadi 6: 412, 1763.<br>thyotlwmi: variegata, (Linnaeus) Hagen, Stett. Ent. Zeitung 282232,<br>1867.<br>Rhyotlmm's variegata variegala (Linnaeus) Ris, Cat. C01. Selys, 15: 931,<br>935, 936, 1913. Fraser, Fauna Brit. Indi, Odon. 3:423, 1936‘<br>Agana spring, April 6, 1 specimen, Bryan.<br>A species occurring in India, Ceylon, Burma and Malaysia Now recordet<br>for the ﬁrst time in Guam."
https://github.com/aubreymoore/insects-of-guam-datamining/raw/master/boxes/013-Species section-odonata-3.jpg,"11. Tramea limbata (Desjardins).<br>Libellula limba-ta Desjardins, Rapport Socl Maurice, 1, 1832.<br>Truman limbafa (Des jardins) Kirby, Zoo]. Soc Lond, Trans. 12: 318,<br>319, 1889. Fraser, Ins. Samoa 7(1) : 41, 1927<br> Fauna Brit. Ind, Odour<br>3 2 436, ﬁg. 119 a, 1936.<br>Orote Peninsula, April 9, Bryan, Sept. 27, Swezey<br> Sumay Road, May 23,<br>Usinger, 5 specimens.<br>The range of this species is from Africa and Madagascar across southern<br>Asia and the Sundaic Archipelago [Suuda Islands ?] to Australia and Oceania.<br>Now recorded for the ﬁrst time in Guam."
